BookId,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23276790,Randitangazhi,Thakazhi Sivasankara Pillai,"Pillai, Thakazhi Sivasankara",,"=""""","=""9788171306732""",0,3.98,DC Books,Paperback,116,2013,1948,,2016/07/04,"to-read, ghoomakad","to-read (#148), ghoomakad (#147)",to-read,,,,,,,0,,,,,
1815345,You've Been Warned,James Patterson,"Patterson, James",,"=""0755330455""","=""9780755330454""",0,3.52,Headline,Paperback,448,2008,2000,,2016/07/04,"to-read, ghoomakad","to-read (#147), ghoomakad (#146)",to-read,,,,,,,0,,,,,
141945,The Best American Short Stories 1993,Louise Erdrich,"Erdrich, Louise",Katrina Kenison,"=""0395636272""","=""9780395636275""",0,3.97,Houghton Mifflin,Paperback,395,1993,1993,,2016/07/04,"to-read, ghoomakad","to-read (#146), ghoomakad (#145)",to-read,,,,,,,0,,,,,
12675404,The Secret Of The Nagas (Shiva Trilogy 2),Amish Tripathi,"Tripathi, Amish",,"=""9380658796""","=""9789380658797""",0,3.95,Westland Books Ltd,Paperback,414,2011,2011,,2016/07/04,"to-read, ghoomakad","to-read (#145), ghoomakad (#144)",to-read,,,,,,,0,,,,,
6494283,A Most Wanted Man,John le Carré,"Carré, John le",,"=""0340977094""","=""9780340977095""",0,3.46,Hodder & Stoughton,Hardcover,418,2008,2008,,2016/07/04,"to-read, ghoomakad","to-read (#144), ghoomakad (#143)",to-read,,,,,,,0,,,,,
955266,The Second Ring of Power,Carlos Castaneda,"Castaneda, Carlos",,"=""0140192352""","=""9780140192353""",0,4.00,Arkana,,288,1990,1977,,2016/07/04,"to-read, ghoomakad","to-read (#143), ghoomakad (#142)",to-read,,,,,,,0,,,,,
185129,More Lives Than One,L. Purves,"Purves, L.",,"=""0340680431""","=""9780340680438""",0,3.38,Hodder & Stoughton,Paperback,248,1999,1999,,2016/07/04,"to-read, ghoomakad","to-read (#142), ghoomakad (#141)",to-read,,,,,,,0,,,,,
996272,Puzzle Adventures II: three adventure stories with puzzles to solve (The second Usborne book of Puzzle Adventures): No. 2,Karen Dolby,"Dolby, Karen","Susannah Leigh, Marjorie Everitt, Martin Oliver","=""0746003102""","=""9780746003107""",0,4.89,Usborne Publishing Ltd,Paperback,,1990,1990,,2016/07/04,"to-read, ghoomakad","to-read (#141), ghoomakad (#140)",to-read,,,,,,,0,,,,,
823968,Written On The Body,Jeanette Winterson,"Winterson, Jeanette",,"=""0394280148""","=""9780394280141""",0,4.08,Vintage Canada,Paperback,192,1993,1992,,2016/07/04,"to-read, ghoomakad","to-read (#140), ghoomakad (#139)",to-read,,,,,,,0,,,,,
21843012,Wolves and Other Nightmares,Alicen Grey,"Grey, Alicen",,"=""0615953476""","=""9780615953472""",0,4.00,Hologram Press,Paperback,84,2014,2014,,2016/07/04,"to-read, ghoomakad","to-read (#139), ghoomakad (#138)",to-read,,,,,,,0,,,,,
165859,Lizzie Siddal: Face of the Pre-Raphaelites,Lucinda Hawksley,"Hawksley, Lucinda",,"=""0802715508""","=""9780802715500""",0,4.04,Walker Books,Hardcover,230,2006,2004,,2016/07/04,"to-read, ghoomakad","to-read (#138), ghoomakad (#137)",to-read,,,,,,,0,,,,,
5093125,The Blue Peter Green Book,Lewis Bronze,"Bronze, Lewis","Nick Heathcote, Peter Brown","=""0563208864""","=""9780563208860""",0,0.0,BBC Books,Unknown Binding,64,1992,1990,,2016/07/04,"to-read, ghoomakad","to-read (#136), ghoomakad (#135)",to-read,,,,,,,0,,,,,
6307887,Watchmen,Alan Moore,"Moore, Alan",Dave Gibbons,"=""1401222668""","=""9781401222666""",0,4.34,,Paperback,436,2009,1987,,2016/07/04,"to-read, ghoomakad","to-read (#137), ghoomakad (#136)",to-read,,,,,,,0,,,,,
2547792,The Life and Times of The Thunderbolt Kid,Bill Bryson,"Bryson, Bill",,"=""0552155462""","=""9780552155465""",0,3.92,Black Swan,Paperback,384,2007,2006,,2016/07/04,"to-read, ghoomakad","to-read (#135), ghoomakad (#134)",to-read,,,,,,,0,,,,,
11882305,Before I Go to Sleep,S.J. Watson,"Watson, S.J.",,"=""0552164135""","=""9780552164139""",0,3.86,Black Swan,Paperback,372,2012,2011,,2016/07/04,"to-read, ghoomakad","to-read (#134), ghoomakad (#133)",to-read,,,,,,,0,,,,,
323328,Death in Venice and Seven Other Stories,Thomas Mann,"Mann, Thomas",H.T. Lowe-Porter,"=""0679722068""","=""9780679722069""",0,3.85,Vintage,Paperback,402,1989,1911,,2016/07/04,"to-read, ghoomakad","to-read (#132), ghoomakad (#131)",to-read,,,,,,,0,,,,,
18856418,Het lot van de kikker,Toon Tellegen,"Tellegen, Toon",,"=""9021450348""","=""9789021450346""",0,3.47,Querido,Paperback,176,2013,2013,,2016/07/04,"to-read, ghoomakad","to-read (#133), ghoomakad (#132)",to-read,,,,,,,0,,,,,
